index,host,date,ver,nb_run,nb_build,cpu,BLAKE2-256,SR25519-Verify,Copy,Seq_Write,Rnd_Write,toolchain,arch,codegen-units,lto,opt-level
0,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,official,0.0,1540.0,1460.0,1.13,24830.0,1280.0,unknown,unknown,1,true,3
1,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,official,0.0,1670.0,1460.0,1.25,15740.0,1270.0,unknown,unknown,1,true,3
2,fernando-bue,2025-Nov-28_08h03,stable2509-2,19,2,0.0,1570.0,1470.0,1.75,24710.0,1310.0,nightly,native,1,fat,2
3,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,3,0.0,1580.0,1480.0,1.76,25530.0,1310.0,nightly,native,1,thin,2
4,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,4,0.0,1580.0,1480.0,1.67,24540.0,1290.0,nightly,native,16,fat,3
5,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,2,0.0,1440.0,1480.0,1.98,16420.0,1260.0,nightly,native,1,fat,2
6,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,official,0.0,1660.0,1470.0,1.23,16250.0,1260.0,unknown,unknown,1,true,3
7,fernando-bue,2025-Nov-28_08h03,stable2509-2,19,0,0.0,1580.0,1480.0,1.39,24600.0,1300.0,stable,native,1,fat,3
8,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,1,0.0,1440.0,1480.0,1.45,16010.000000000002,1260.0,stable,native,16,fat,3
9,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,4,0.1,1440.0,1480.0,1.89,16280.000000000002,1260.0,nightly,native,16,fat,3
10,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,3,0.0,1580.0,1480.0,1.92,10980.0,1250.0,nightly,native,1,thin,2
11,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,3,0.0,1580.0,1480.0,1.74,25220.0,1310.0,nightly,native,1,thin,2
12,fernando-bue,2025-Nov-28_08h03,stable2509-2,15,2,0.0,1580.0,1470.0,1.74,24920.0,1300.0,nightly,native,1,fat,2
13,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,1,0.0,1580.0,1470.0,1.38,16580.0,1260.0,stable,native,16,fat,3
14,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,4,0.0,1580.0,1480.0,1.68,24700.0,1310.0,nightly,native,16,fat,3
15,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,0,0.1,1590.0,1490.0,1.43,16070.0,1260.0,stable,native,1,fat,3
16,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,0,0.1,1580.0,1480.0,1.28,24530.0,1290.0,stable,native,1,fat,3
17,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,3,0.0,1440.0,1470.0,1.96,16400.0,1250.0,nightly,native,1,thin,2
18,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,1,0.0,1580.0,1480.0,1.43,13860.0,1260.0,stable,native,16,fat,3
19,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,official,0.0,1660.0,1470.0,1.02266,25210.0,1300.0,unknown,unknown,1,true,3
20,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,0,0.0,1580.0,1480.0,1.28,24710.0,1310.0,stable,native,1,fat,3
21,fernando-bue,2025-Nov-28_08h03,stable2509-2,15,3,0.1,1490.0,1480.0,1.98,16030.000000000002,1260.0,nightly,native,1,thin,2
22,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,1,0.1,1580.0,1470.0,1.27,25020.0,1280.0,stable,native,16,fat,3
23,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,0,0.0,1580.0,1470.0,1.28,24400.0,1290.0,stable,native,1,fat,3
24,fernando-bue,2025-Nov-28_08h03,stable2509-2,15,1,0.0,1580.0,1480.0,1.4,16050.0,1260.0,stable,native,16,fat,3
25,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,1,0.0,1580.0,1480.0,1.26,24540.0,1300.0,stable,native,16,fat,3
26,fernando-bue,2025-Nov-28_08h03,stable2509-2,19,official,0.0,1660.0,1450.0,1.28,15320.0,1260.0,unknown,unknown,1,true,3
27,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,0,0.1,1580.0,1480.0,1.28,24760.0,1290.0,stable,native,1,fat,3
28,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,official,0.0,1660.0,1460.0,0.97157,25130.0,1290.0,unknown,unknown,1,true,3
29,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,2,0.1,1580.0,1470.0,1.73,22310.0,1310.0,nightly,native,1,fat,2
30,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,4,0.0,1580.0,1480.0,1.87,12030.0,1250.0,nightly,native,16,fat,3
31,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,2,0.0,1580.0,1480.0,1.75,24770.0,1300.0,nightly,native,1,fat,2
32,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,2,0.0,1580.0,1470.0,1.76,25570.0,1300.0,nightly,native,1,fat,2
33,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,1,0.0,1580.0,1470.0,1.42,14630.0,1260.0,stable,native,16,fat,3
34,fernando-bue,2025-Nov-28_08h03,stable2509-2,19,4,0.0,1580.0,1470.0,1.69,25180.0,1290.0,nightly,native,16,fat,3
35,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,0,0.0,1580.0,1480.0,1.44,14530.0,1260.0,stable,native,1,fat,3
36,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,1,0.0,1580.0,1480.0,1.27,25550.0,1290.0,stable,native,16,fat,3
37,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,2,0.0,1580.0,1480.0,1.75,22970.0,1310.0,nightly,native,1,fat,2
38,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,4,0.1,1580.0,1480.0,1.7,25490.0,1310.0,nightly,native,16,fat,3
39,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,2,0.0,1440.0,1480.0,1.92,16320.0,1260.0,nightly,native,1,fat,2
40,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,official,0.0,1660.0,1460.0,1.28,12160.0,1250.0,unknown,unknown,1,true,3
41,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,0,0.1,1460.0,1470.0,1.27,24930.0,1290.0,stable,native,1,fat,3
42,fernando-bue,2025-Nov-28_08h03,stable2509-2,2,2,0.1,1580.0,1480.0,1.97,16470.0,1260.0,nightly,native,1,fat,2
43,fernando-bue,2025-Nov-28_08h03,stable2509-2,15,0,0.0,1580.0,1470.0,1.28,25350.0,1300.0,stable,native,1,fat,3
44,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,2,0.0,1580.0,1470.0,1.94,16570.0,1260.0,nightly,native,1,fat,2
45,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,4,0.0,1440.0,1480.0,1.87,16440.0,1260.0,nightly,native,16,fat,3
46,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,official,0.0,1660.0,1460.0,1.12,24600.0,1290.0,unknown,unknown,1,true,3
47,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,2,0.0,1580.0,1480.0,1.76,24810.0,1300.0,nightly,native,1,fat,2
48,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,official,0.0,1660.0,1450.0,1.11,24600.0,1290.0,unknown,unknown,1,true,3
49,fernando-bue,2025-Nov-28_08h03,stable2509-2,19,1,0.0,1440.0,1480.0,1.42,16480.0,1260.0,stable,native,16,fat,3
50,fernando-bue,2025-Nov-28_08h03,stable2509-2,2,1,0.0,1580.0,1480.0,1.44,4660.0,1260.0,stable,native,16,fat,3
51,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,official,0.0,1660.0,1540.0,1.12,24750.0,1300.0,unknown,unknown,1,true,3
52,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,1,0.0,1580.0,1470.0,1.25,24610.0,1310.0,stable,native,16,fat,3
53,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,official,0.0,1660.0,1540.0,1.13,4700.0,1260.0,unknown,unknown,1,true,3
54,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,4,0.0,1590.0,1470.0,1.88,13290.0,1260.0,nightly,native,16,fat,3
55,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,0,0.0,1580.0,1480.0,1.45,16770.0,1250.0,stable,native,1,fat,3
56,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,3,0.0,1580.0,1470.0,1.74,24530.0,1300.0,nightly,native,1,thin,2
57,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,official,0.0,1660.0,1500.0,1.05,15740.0,1260.0,unknown,unknown,1,true,3
58,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,0,0.0,1580.0,1480.0,1.44,16110.0,1260.0,stable,native,1,fat,3
59,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,3,0.1,1580.0,1480.0,1.75,24700.0,1310.0,nightly,native,1,thin,2
60,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,0,0.0,1580.0,1470.0,1.28,25500.0,1310.0,stable,native,1,fat,3
61,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,4,0.0,1580.0,1480.0,1.67,24640.0,1310.0,nightly,native,16,fat,3
62,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,4,0.0,1580.0,1470.0,1.68,24700.0,1310.0,nightly,native,16,fat,3
63,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,4,0.0,1580.0,1470.0,1.68,23850.0,1310.0,nightly,native,16,fat,3
64,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,2,0.0,1580.0,1470.0,1.74,25340.0,1310.0,nightly,native,1,fat,2
65,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,2,0.0,1580.0,1480.0,1.94,16470.0,1250.0,nightly,native,1,fat,2
66,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,0,0.1,1580.0,1480.0,1.28,25380.0,1310.0,stable,native,1,fat,3
67,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,2,0.1,1580.0,1470.0,1.91,4720.0,1260.0,nightly,native,1,fat,2
68,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,1,0.0,1440.0,1480.0,1.34,16340.0,1260.0,stable,native,16,fat,3
69,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,4,0.0,1580.0,1480.0,1.68,25130.0,1270.0,nightly,native,16,fat,3
70,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,2,0.0,1580.0,1480.0,1.98,16550.0,1260.0,nightly,native,1,fat,2
71,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,official,0.1,1660.0,1550.0,1.11,24690.0,1290.0,unknown,unknown,1,true,3
72,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,3,0.0,1440.0,1480.0,1.97,16180.0,1260.0,nightly,native,1,thin,2
73,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,1,0.0,1440.0,1470.0,1.44,16630.0,1260.0,stable,native,16,fat,3
74,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,1,0.0,1580.0,1470.0,1.41,16329.999999999998,1260.0,stable,native,16,fat,3
75,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,4,0.0,1580.0,1470.0,1.84,6570.0,1260.0,nightly,native,16,fat,3
76,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,4,0.0,1580.0,1480.0,1.9,14330.0,1260.0,nightly,native,16,fat,3
